Date,Open,High,Low,Close,Volume
1896-05-31,29.39,29.43,29.11,29.43,0
1896-06-07,29.4,29.4,28.8,29.2,0
1896-06-14,28.83,28.83,27.82,28.47,0
1896-06-21,28.92,29.36,28.8,28.99,0
1896-06-28,28.05,28.05,27.44,27.44,0
1896-07-05,25.73,26.18,25.05,25.16,0
1896-07-12,25.25,25.49,25.12,25.23,0
1896-07-19,25.12,25.12,23.13,23.13,0
1896-07-26,22.09,23.39,22.09,22.84,0
1896-08-02,22.78,23.19,22.32,23.19,0
1896-08-09,22.81,22.81,20.76,20.76,0
1896-08-16,20.97,22.26,20.97,22.26,0
1896-08-23,22.5,22.68,22.13,22.13,0
1896-08-30,22.21,22.36,21.94,22.36,0
1896-09-06,23.15,25.13,23.15,25.13,0
1896-09-13,25.71,25.71,25.04,25.57,0
1896-09-20,25.25,25.25,24.13,25.21,0
1896-09-27,25.73,26.51,25.73,26.51,0
1896-10-04,26.33,26.33,25.99,25.99,0
1896-10-11,26.02,26.02,25.32,25.32,0
1896-10-18,25.16,26.26,25.16,26.26,0
1896-10-25,26.44,27.88,26.44,27.88,0
1896-11-01,28.04,28.54,27.34,28.54,0
1896-11-08,29.64,31.38,29.64,31.38,0
1896-11-15,32.19,32.52,32.11,32.23,0
1896-11-22,31.57,31.6,31.32,31.32,0
1896-11-29,31.11,31.11,30.35,30.35,0
1896-12-06,29.69,30.58,29.69,30.47,0
1896-12-13,30.11,30.26,30,30,0
1896-12-20,29.27,29.55,27.95,27.95,0
1896-12-27,28.83,28.98,28.63,28.98,0
1897-01-03,29.07,29.42,29.07,29.3,0
1897-01-10,29.24,29.67,29.24,29.67,0
1897-01-17,29.51,30.61,29.51,30.61,0
1897-01-24,30.97,31.32,30.72,30.72,0
1897-01-31,30.35,30.58,30.33,30.46,0
1897-02-07,30.69,30.69,29.86,29.86,0
1897-02-14,29.77,29.77,29.17,29.17,0
1897-02-21,28.78,29.2,28.78,29.17,0
1897-02-28,29.47,29.9,29.12,29.9,0
1897-03-07,30.19,30.51,29.94,30.02,0
1897-03-14,30.35,30.45,30.14,30.45,0
1897-03-21,30.48,30.48,29.78,29.78,0
1897-03-28,29.98,29.98,29.02,29.02,0
1897-04-04,28.34,28.87,28.34,28.83,0
1897-04-11,28.78,29.24,28.66,29.12,0
1897-04-18,28.93,29.28,28.54,28.54,0
1897-04-25,27.88,28.18,27.88,27.88,0
1897-05-02,28.41,28.41,28.22,28.22,0
1897-05-09,28.09,28.67,28.09,28.67,0
1897-05-16,28.93,28.93,28.2,28.2,0
1897-05-23,28.01,28.39,28.01,28.12,0
1897-05-30,28.48,28.71,28.39,28.71,0
1897-06-06,28.98,29.35,28.98,29.35,0
1897-06-13,29.93,30.81,29.93,30.81,0
1897-06-20,31.11,31.19,30.7,31.19,0
1897-06-27,30.87,31.43,30.87,31.35,0
1897-07-04,32.31,32.31,31.94,32,0
1897-07-11,31.58,31.98,31.58,31.98,0
1897-07-18,32.63,33.11,32.63,32.94,0
1897-07-25,33.64,34.68,33.64,34.68,0
1897-08-01,34.55,34.73,34.12,34.73,0
1897-08-08,35.37,37.46,35.37,37.46,0
1897-08-15,37.17,37.64,37.17,37.3,0
1897-08-22,37.8,37.8,37.34,37.41,0
1897-08-29,37.94,38.33,37.76,38.33,0
1897-09-05,38.55,40.39,38.55,40.3,0
1897-09-12,40.38,40.43,40.27,40.43,0
1897-09-19,39.55,40.28,39.55,40.17,0
1897-09-26,39.59,39.59,38.01,38.01,0
1897-10-03,38.33,38.33,36.92,37.33,0
1897-10-10,38.14,38.14,37.2,37.4,0
1897-10-17,36.68,36.68,35.07,35.07,0
1897-10-24,35.63,36.49,35.63,36.21,0
1897-10-31,35.31,35.56,35.1,35.35,0
1897-11-07,35.57,35.57,33.12,33.12,0
1897-11-14,33.06,34.13,33.06,33.63,0
1897-11-21,33.66,34.24,33.66,34.24,0
1897-11-28,33.96,33.96,33.47,33.82,0
1897-12-05,33.89,35.06,33.89,34.99,0
1897-12-12,35.34,35.92,35.34,35.62,0
1897-12-19,36.07,36.07,34.87,34.87,0
1897-12-26,35.09,35.77,34.95,35.77,0
1898-01-02,35.7,35.79,35.64,35.79,0
1898-01-09,35.71,36.7,35.42,36.7,0
1898-01-16,36.6,36.6,35.94,35.94,0
1898-01-23,35.75,35.75,35.35,35.43,0
1898-01-30,34.76,36.05,34.76,35.72,0
1898-02-06,36.22,36.22,35.88,36.08,0
1898-02-13,36.29,36.33,35.94,36.31,0
1898-02-20,35.84,36.24,35.19,35.19,0
1898-02-27,34.12,34.12,32.35,32.82,0
1898-03-06,33.44,34.38,33.43,33.43,0
1898-03-13,32.49,32.96,32.19,32.19,0
1898-03-20,32.4,32.98,32.16,32.49,0
1898-03-27,32.23,32.23,30.42,30.42,0
1898-04-03,32.84,33.42,31.97,31.97,0
1898-04-10,33.01,33.33,32.63,32.94,0
1898-04-17,33.28,33.55,32.73,32.86,0
1898-04-24,32.53,32.53,31.34,31.77,0
1898-05-01,31.88,33.13,31.88,33.13,0
1898-05-08,35.2,35.8,34.98,35.6,0
1898-05-15,36.97,37.39,36.55,36.81,0
1898-05-22,36.45,37.13,36.45,36.75,0
1898-05-29,37.47,37.87,37.47,37.72,0
1898-06-05,38.2,38.65,38.2,38.22,0
1898-06-12,38.62,38.9,38.47,38.9,0
1898-06-19,38.1,38.1,36.84,37.76,0
1898-06-26,37.59,37.67,37.21,37.67,0
1898-07-03,38.14,38.39,37.98,38.39,0
1898-07-10,38.38,38.57,38.23,38.57,0
1898-07-17,38.64,38.64,38.04,38.04,0
1898-07-24,37.86,38.48,37.86,38.39,0
1898-07-31,38.87,39.23,38.87,39.12,0
1898-08-07,39.54,40.45,39.54,40.45,0
1898-08-14,40.78,41,40.71,40.71,0
