Date,Open,High,Low,Close,Volume
1896-12-31,29.39,32.52,20.76,29.3,0
1897-12-31,29.24,40.43,27.88,35.79,0
1898-12-31,35.71,44.16,30.42,43.83,0
1899-12-31,43.75,56.21,42.2,47.6,0
1900-12-31,49.34,51.45,38.36,51.21,0
1901-12-31,51.02,56.68,44.56,46.76,0
1902-12-31,46.58,49.57,43.14,46.56,0
1903-12-31,46.79,49.03,30.53,35.57,0
1904-12-31,34.6,53.04,33.65,50.73,0
1905-12-31,50.98,69.93,49.8,69.93,0
1906-12-31,68.8,74.6,61.69,68.33,0
1907-12-31,68.26,69.8,38.39,42.55,0
1908-12-31,43.17,64.01,42.46,62.39,0
1909-12-31,61.75,72.81,57.87,71.74,0
1910-12-31,71.22,71.22,53.32,58.96,0
1911-12-31,59.47,63.05,52.83,59.08,0
1912-12-31,59.65,68.19,58.08,63.64,0
1913-12-31,64.04,64.15,52.23,57.06,0
1914-12-31,56.92,60.42,51.73,54.58,0
1915-12-31,55.44,99.21,54.22,99.15,0
1916-12-31,98.81,110.15,86.4,95,0
1917-12-31,96.15,99.18,65.95,74.38,0
1918-12-31,76.68,89.07,73.38,82.2,0
1919-12-31,82.6,119.62,79.35,107.23,0
1920-12-31,108.76,108.85,66.75,71.95,0
1921-12-31,72.67,81.5,63.9,80.8,0
1922-12-31,78.91,102.76,78.59,98.17,0
1923-12-31,98.77,105.38,85.91,95.52,0
1924-12-31,95.65,120.51,88.33,120.51,0
1925-12-31,121.25,159.39,115,156.66,0
1926-12-31,158.75,166.14,135.2,157.2,0
1927-12-31,155.16,200.93,152.73,200.7,0
1928-12-31,203.35,301.6,191.33,300,0
1929-12-31,300.3,386.1,195.4,248.5,0
1930-12-31,248.5,297.3,154.5,164.6,91995596
1931-12-31,164.6,197,71.8,77.9,70845913
1932-12-31,77.9,89.9,40.6,59.9,52306860
1933-12-31,59.9,110.5,49.7,99.9,79983797
1934-12-31,99.9,111.9,84.6,104,39873596
1935-12-31,104,149.4,96,144.1,46931130
1936-12-31,144.1,186.4,141.5,179.9,60676636
1937-12-31,179.9,195.6,112.5,120.9,50625088
1938-12-31,120.9,158.9,97.5,154.8,36312257
1939-12-31,154.8,157.8,120,150.2,31889380
1940-12-31,150.5,153.3,110.4,131.1,25604057
1941-12-31,131.1,134.3,105.5,111,21152364
1942-12-31,111,120.2,92.7,119.4,15642726
