Date,Open,High,Low,Close,Volume
1789-12-31,0.51,0.51,0.5,0.5,0
1790-12-31,0.5,0.57,0.49,0.57,0
1791-12-31,0.57,0.63,0.57,0.63,0
1792-12-31,0.63,0.64,0.52,0.54,0
1793-12-31,0.54,0.62,0.54,0.62,0
1794-12-31,0.62,0.76,0.62,0.76,0
1795-12-31,0.76,0.78,0.73,0.73,0
1796-12-31,0.73,0.73,0.63,0.63,0
1797-12-31,0.63,0.63,0.58,0.58,0
1798-12-31,0.58,0.7,0.57,0.69,0
1799-12-31,0.69,0.79,0.69,0.79,0
1800-12-31,0.79,1.03,0.76,1,0
1801-12-31,1,1,0.63,0.63,0
1802-12-31,0.63,0.65,0.59,0.65,0
1803-12-31,0.65,0.75,0.65,0.75,0
1804-12-31,0.76,1.11,0.76,1.11,0
1805-12-31,1.11,1.14,1.06,1.1,0
1806-12-31,1.1,1.31,1.1,1.2,0
1807-12-31,1.2,1.2,0.65,0.65,0
1808-12-31,0.64,0.94,0.64,0.9,0
1809-12-31,0.91,1.19,0.91,1.19,0
1810-12-31,1.19,1.2,1.01,1.02,0
1811-12-31,1.02,1.08,0.93,0.93,0
1812-12-31,0.98,0.98,0.8,0.8,0
1813-12-31,0.8,0.89,0.78,0.89,0
1814-12-31,0.9,1.48,0.9,1.48,0
1815-12-31,1.53,1.57,1.44,1.56,0
1816-12-31,1.56,1.56,1.49,1.5,0
1817-12-31,1.5,1.7,1.47,1.7,0
1818-12-31,1.71,1.89,1.71,1.89,0
1819-12-31,1.89,1.91,1.75,1.75,0
1820-12-31,1.75,1.93,1.68,1.93,0
1821-12-31,1.94,2.1,1.94,2.09,0
1822-12-31,2.09,2.09,1.98,2,0
1823-12-31,2.01,2.12,1.98,2.12,0
1824-12-31,2.12,2.49,2.12,2.37,0
1825-12-31,2.37,2.37,2.08,2.08,0
1826-12-31,2.08,2.09,1.99,1.99,0
1827-12-31,1.98,2.11,1.97,2.05,0
1828-12-31,2.04,2.13,1.88,1.9,0
1829-12-31,1.9,2.12,1.88,2.1,0
1830-12-31,2.1,2.5,2.05,2.41,0
1831-12-31,2.4,2.49,2.06,2.09,0
1832-12-31,2.09,2.62,2.09,2.62,0
1833-12-31,2.96,3.12,2.62,2.7,0
1834-12-31,2.66,3.17,2.36,3.04,0
1835-12-31,3.05,4.04,2.87,3.62,0
1836-12-31,3.6,3.76,2.52,2.74,0
1837-12-31,2.72,2.92,1.97,2.23,0
1838-12-31,2.22,2.38,1.89,2.17,0
1839-12-31,2.17,2.26,1.66,1.66,0
1840-12-31,1.64,1.74,1.51,1.74,0
1841-12-31,1.75,1.84,1.3,1.34,0
1842-12-31,1.31,1.37,1.01,1.16,0
1843-12-31,1.16,1.75,1.1,1.75,0
1844-12-31,1.77,2.45,1.77,2.16,0
1845-12-31,2.28,2.29,2.11,2.23,0
1846-12-31,2.24,2.41,2.24,2.33,0
1847-12-31,2.34,2.79,2.34,2.51,0
1848-12-31,2.5,2.5,2.17,2.21,0
1849-12-31,2.23,2.53,2.23,2.39,0
1850-12-31,2.39,3.04,2.39,2.85,0
1851-12-31,2.85,3.04,2.8,2.85,0
1852-12-31,2.85,3.63,2.85,3.6,0
1853-12-31,3.6,3.63,3.07,3.08,0
1854-12-31,3.08,3.24,2.27,2.36,0
1855-12-31,2.35,2.6,2.35,2.48,0
1856-12-31,2.47,2.68,2.39,2.68,0
1857-12-31,2.68,2.76,1.67,1.67,0
1858-12-31,1.66,1.96,1.4,1.75,0
1859-12-31,1.75,1.79,1.52,1.55,0
1860-12-31,1.56,2.39,1.56,2.11,0
1861-12-31,2.11,2.15,1.87,2.15,0
1862-12-31,2.16,3.26,2.16,3.24,0
1863-12-31,3.29,4.55,3.29,4.55,0
1864-12-31,4.65,4.65,4.05,4.19,0
1865-12-31,4.19,4.55,3.71,4.4,0
1866-12-31,4.38,4.67,4.19,4.57,0
1867-12-31,4.56,4.76,4.21,4.72,0
1868-12-31,4.74,5.38,4.74,5.21,0
1869-12-31,5.21,5.4,4.61,4.77,0
1870-12-31,4.71,4.71,4.49,4.59,0
1871-12-31,4.61,5.01,4.61,4.9,0
1872-12-31,4.92,5.31,4.92,5.21,0
1873-12-31,5.21,5.3,4.53,4.53,0
1874-12-31,4.54,4.82,4.22,4.71,0
1875-12-31,4.71,4.75,4.49,4.49,0
1876-12-31,4.55,4.64,3.7,3.7,0
1877-12-31,3.65,3.77,2.97,3.33,0
1878-12-31,3.36,3.68,3.34,3.68,0
1879-12-31,3.69,4.83,3.59,4.83,0
1880-12-31,4.86,5.88,4.86,5.88,0
1881-12-31,5.88,6.74,5.88,6.25,0
1882-12-31,6.23,6.4,5.99,6.18,0
1883-12-31,6.16,6.16,5.53,5.53,0
1884-12-31,5.51,5.51,4.59,4.59,0
1885-12-31,4.56,5.68,4.22,5.5,0
1886-12-31,5.5,6.01,4.93,5.75,0
1887-12-31,5.73,5.95,4.94,5.26,0
1888-12-31,5.25,5.62,4.8,5.52,0
1889-12-31,5.49,5.98,5.33,5.86,0
1890-12-31,5.85,6.37,4.72,5.03,0
1891-12-31,5.1,5.95,4.99,5.92,0
1892-12-31,5.96,6.15,5.43,5.53,0
1893-12-31,5.49,5.75,3.53,4.17,0
1894-12-31,4.12,4.68,4.12,4.15,0
1895-12-31,4.1,5.18,3.94,4.24,0
1896-12-31,4.21,4.66,3.29,4.22,0
1897-12-31,4.26,5.62,3.98,5.14,0
1898-12-31,5.11,6.22,4.54,6.22,0
1899-12-31,6.22,7.41,6.02,6.56,0
1900-12-31,6.69,7.68,5.88,7.68,0
1901-12-31,7.66,9.2,7.4,8.58,0
1902-12-31,8.63,9.48,8.32,8.8,0
1903-12-31,8.83,9,6.42,7.14,0
1904-12-31,6.97,9.13,6.66,8.9,0
1905-12-31,8.98,10.7,8.79,10.67,0
1906-12-31,10.63,11.18,9.62,10.42,0
1907-12-31,10.42,10.6,6.33,6.93,0
1908-12-31,7.02,9.61,6.78,9.6,0
1909-12-31,9.65,10.84,9.05,10.61,0
1910-12-31,10.53,10.56,8.37,9.1,0
1911-12-31,9.19,9.82,8.6,9.27,0
1912-12-31,9.3,10.1,9.12,9.48,0
1913-12-31,9.54,9.57,8.04,8.44,0
1914-12-31,8.43,8.89,7.33,7.47,0
1915-12-31,7.46,10.78,7.41,10.7,0
1916-12-31,10.67,11.32,9.5,10.34,0
1917-12-31,10.41,10.58,7.06,7.96,0
1918-12-31,8.06,9.34,7.78,8.6,0
1919-12-31,8.62,10.41,8.3,9.43,0
1920-12-31,9.52,9.62,7.05,7.64,0
1921-12-31,7.67,8.04,6.73,8.02,0
1922-12-31,7.87,10.16,7.86,9.54,0
