N,frequency,period_yr,period_wk,period_months,amplitude,group,confidence
2,0.7144,8.7953,457.3547,105.5434,70.3145,Trend,high
4,1.4288,4.3976,228.6774,52.7717,41.4571,54-month,high
6,2.1431,2.9318,152.4516,35.1811,25.6691,18-month,low
8,2.8575,2.1988,114.3387,26.3858,10.1784,18-month,low
10,3.5719,1.7591,91.4709,21.1087,13.5285,18-month,low
12,4.2863,1.4659,76.2258,17.5906,12.6352,40-week,high
14,5.0007,1.2565,65.3364,15.0776,7.2303,40-week,high
15,5.3579,1.1727,60.9806,14.0725,7.2901,40-week,medium
17,6.0722,1.0347,53.8064,12.4169,8.2798,40-week,medium
19,6.7866,0.9258,48.1426,11.1098,9.2357,20-week,medium
20,7.1438,0.8795,45.7355,10.5543,4.8500,20-week,low
23,8.2154,0.7648,39.7700,9.1777,7.0951,20-week,medium
25,8.9298,0.7036,36.5884,8.4435,4.8075,20-week,medium
27,9.6441,0.6515,33.8781,7.8180,5.6446,20-week,medium
29,10.3585,0.6066,31.5417,7.2789,5.1909,20-week,medium
31,11.0729,0.5674,29.5068,6.8093,4.2841,20-week,medium
35,12.5017,0.5026,26.1346,6.0311,4.4120,10-week,medium
